,Số phòng ngủ,Diện tích,Giá/m2
0,5 phòng,46 m²,"86,96 triệu/m²"
1,3 phòng,37 m²,"116,22 triệu/m²"
2,4 phòng,40 m²,65 triệu/m²
3,6 phòng,51 m²,100 triệu/m²
4,4 phòng,36 m²,"86,11 triệu/m²"
5,nhiều hơn 10 phòng,46 m²,"104,35 triệu/m²"
6,3 phòng,52 m²,"112,5 triệu/m²"
7,5 phòng,32 m²,"184,38 triệu/m²"
8,4 phòng,75 m²,120 triệu/m²
9,3 phòng,41 m²,"64,63 triệu/m²"
10,3 phòng,35 m²,"45,71 triệu/m²"
11,4 phòng,30 m²,"83,33 triệu/m²"
12,4 phòng,52 m²,"93,27 triệu/m²"
13,5 phòng,50 m²,86 triệu/m²
14,4 phòng,52.8 m²,75 triệu/m²
15,4 phòng,52 m²,"93,27 triệu/m²"
16,3 phòng,30 m²,75 triệu/m²
17,nhiều hơn 10 phòng,165 m²,"103,03 triệu/m²"
18,3 phòng,70 m²,"102,86 triệu/m²"
19,3 phòng,34 m²,"82,35 triệu/m²"
20,3 phòng,32 m²,"51,56 triệu/m²"
21,6 phòng,65 m²,"75,38 triệu/m²"
22,4 phòng,45 m²,"64,44 triệu/m²"
23,4 phòng,79 m²,"112,66 triệu/m²"
24,5 phòng,90 m²,"108,89 triệu/m²"
25,5 phòng,73 m²,"106,85 triệu/m²"
26,6 phòng,52 m²,250 triệu/m²
27,8 phòng,40 m²,"107,5 triệu/m²"
28,3 phòng,45 m²,"133,33 triệu/m²"
29,3 phòng,32 m²,"60,94 triệu/m²"
30,2 phòng,18 m²,"69,44 triệu/m²"
31,4 phòng,42 m²,"83,81 triệu/m²"
32,3 phòng,42 m²,"58,33 triệu/m²"
33,5 phòng,45 m²,"95,56 triệu/m²"
34,2 phòng,42 m²,"29,76 triệu/m²"
35,3 phòng,46 m²,"80,43 triệu/m²"
36,4 phòng,42 m²,"361,9 triệu/m²"
37,4 phòng,43 m²,50 triệu/m²
38,3 phòng,25 m²,96 triệu/m²
39,3 phòng,45 m²,"51,11 triệu/m²"
40,2 phòng,35 m²,"80,86 triệu/m²"
41,4 phòng,38 m²,"68,42 triệu/m²"
42,4 phòng,35 m²,"55,71 triệu/m²"
43,3 phòng,49 m²,"36,73 triệu/m²"
44,3 phòng,33 m²,"80,3 triệu/m²"
45,4 phòng,38 m²,"73,68 triệu/m²"
46,3 phòng,32 m²,"96,88 triệu/m²"
47,5 phòng,120 m²,125 triệu/m²
48,5 phòng,200 m²,"47,25 triệu/m²"
49,2 phòng,18 m²,"69,44 triệu/m²"
50,4 phòng,47 m²,"57,45 triệu/m²"
51,7 phòng,55 m²,"309,09 triệu/m²"
52,3 phòng,36 m²,"61,67 triệu/m²"
53,4 phòng,50 m²,130 triệu/m²
54,3 phòng,51 m²,"62,75 triệu/m²"
55,4 phòng,32 m²,"56,25 triệu/m²"
56,nhiều hơn 10 phòng,70 m²,"114,29 triệu/m²"
57,4 phòng,42 m²,"105,95 triệu/m²"
58,3 phòng,30 m²,"61,67 triệu/m²"
59,4 phòng,30 m²,50 triệu/m²
60,4 phòng,40 m²,"98,75 triệu/m²"
61,4 phòng,36 m²,"59,72 triệu/m²"
62,3 phòng,30 m²,"91,67 triệu/m²"
